"X-axis","Y-axis","Link"
31.4004556385335,83.5822207895108,0
31.9906634229701,84.249273390742,0
32.665309730568,84.781102004461,0
33.4094876752933,85.1283266281243,0
34.1875983616337,85.3461333194282,0
34.9714529571356,85.5279218088836,0
35.7631290780846,85.6396455129143,0
36.5596754284343,85.667306849733,0
37.3564567660214,85.6791618065909,0
38.1532688157167,85.6840460144449,0
38.9500743697863,85.6831632687245,0
39.7468799238559,85.6822805230041,0
40.5436854779255,85.6813977772837,0
41.3404910319951,85.6805150315633,0
42.1372965860647,85.6796322858429,0
42.9341021401343,85.6787495401225,0
32.7910631834529,86.2446526743006,1
33.3543323959457,86.9458161066286,1
34.0196665880503,87.4953321292997,1
34.7462437001523,87.9023227137514,1
35.5146219298476,88.1684294224251,1
36.2961752581177,88.3646723665297,1
37.0873264257098,88.4836662963498,1
37.8826730734436,88.547156954417,1
38.6790615785867,88.5812717478257,1
39.4757456749212,88.5727981505915,1
40.2723052991787,88.5511043744627,1
41.0688649234362,88.5294105983339,1
41.8654245476937,88.5077168222051,1
42.6619841719512,88.4860230460763,1
43.4585437962087,88.4643292699475,1
44.2551034204662,88.4426354938187,1
34.1695247873431,88.8237098651007,2
34.7152617501561,89.5477971900255,2
35.3991548684426,90.0489725866355,2
36.1651859170524,90.3262028521858,2
36.9439081569435,90.5389382184949,2
37.735014607315,90.6604928071611,2
38.5290099559352,90.7471646794584,2
39.3247042581206,90.8023275427986,2
40.121100811637,90.8378651782405,2
40.9177093894687,90.8636347739957,2
41.7144050557399,90.8617585529573,2
42.5111007220111,90.8598823319189,2
43.3077963882823,90.8580061108805,2
44.1044920545535,90.8561298898421,2
44.9011877208247,90.8542536688037,2
45.6978833870959,90.8523774477653,2
35.4590533820447,91.2360176679213,3
35.996283611632,91.9709852971137,3
36.6253926906502,92.5838240813464,3
37.3319058681373,93.0426821352448,3
38.1109245234402,93.2417370094918,3
38.9028538200073,93.3547639541794,3
39.6971697843401,93.4364466215484,3
40.4932031350909,93.4822173977736,3
41.2897667365614,93.5104965716601,3
42.0862789177336,93.5413307815325,3
42.8829010889167,93.566334990086,3
43.6795232600998,93.5913391986395,3
44.4761454312829,93.616343407193,3
45.272767602466,93.6413476157465,3
46.0693897736491,93.6663518243001,3
46.8660119448322,93.6913560328536,3
36.8597482364858,93.8873329265043,4
37.3927273863228,94.6279472287279,4
38.0266397360247,95.2320277208928,4
38.757871048525,95.6258164434694,4
39.5258597369539,95.8925074834842,4
40.3157052813331,96.0199174184818,4
41.1114045514259,96.0757269677706,4
41.9075663185213,96.1193510168232,4
42.7040228197584,96.152363762958,4
43.5007629585452,96.1683611755725,4
44.2975662942044,96.1728730744217,4
45.0943696298636,96.1773849732709,4
45.8911729655228,96.1818968721201,4
46.687976301182,96.1864087709693,4
47.4847796368412,96.1909206698185,4
48.2815829725004,96.1954325686677,4
38.1214852645062,96.2384992865846,5
38.6315337349661,97.0040751253255,5
39.2621837515617,97.611865874147,5
39.9919495631475,98.0092782862485,5
40.7526027900167,98.3086771608796,5
41.5324355373159,98.5129300144035,5
42.3243889580481,98.6258550116327,5
43.1184044893598,98.712257335661,5
43.9147115387023,98.7451846837066,5
44.711493543582,98.7569662544411,5
45.5083003757754,98.759259008104,5
46.3051072079688,98.7615517617669,5
47.1019140401622,98.7638445154298,5
47.8987208723556,98.7661372690927,5
48.695527704549,98.7684300227556,5
49.4923345367424,98.7707227764185,5
